,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
98,161.0,2.0,WA,Clallam,,0,0,0.001,0.0,0.0279999999999999,0.225,0.746,3.715,76011.0,86.75,1.04,5.58,1.87,0.19,4.57
99,644.0,2.0,WA,Clark,Large fringe metro,128,"4,093",0.02,0.021,0.048,0.17,0.741,3.591,488502.0,86.01,2.38,1.07,5.16,0.83,4.55
100,25.0,1.0,WA,Columbia,,0,0,0.08,0.031,0.079,0.223,0.586,3.202,4161.0,92.65,0.41,1.92,0.94,1.18,2.91
101,193.0,1.0,WA,Cowlitz,,0,0,0.0409999999999999,0.02,0.098,0.216,0.625,3.364,108950.0,90.92,0.89,1.92,1.82,0.37,4.08
102,0.0,0.0,WA,Douglas,,0,0,0.067,0.047,0.042,0.271,0.573,3.236,42820.0,93.79,0.57,1.76,1.04,0.25,2.59
103,25.0,1.0,WA,Ferry,,0,0,0.0819999999999999,0.066,0.0819999999999999,0.204,0.565,3.102,7831.0,76.18,0.51,15.64,1.34,0.19,6.13
104,25.0,1.0,WA,Franklin,Medium metro,63,356,0.106,0.013,0.059,0.069,0.753,3.35,94680.0,91.03,2.3,1.3,2.34,0.43,2.6
105,25.0,1.0,WA,Garfield,,0,0,0.031,0.0289999999999999,0.085,0.292,0.563,3.327,2221.0,96.13,0.0,0.59,1.31,0.05,1.94
106,150.0,4.0,WA,Grant,Micropolitan,42,606,0.032,0.052,0.108,0.146,0.6609999999999999,3.35,98742.0,92.45,1.8,1.95,1.19,0.13,2.48
107,81.0,2.0,WA,Grays Harbor,Micropolitan,18,746,0.03,0.009,0.087,0.213,0.662,3.47,74161.0,86.91,1.32,5.3,1.76,0.34,4.38
108,25.0,1.0,WA,Island,Micropolitan,25,604,0.015,0.009,0.066,0.15,0.759,3.627,84822.0,85.32,2.62,0.94,5.35,0.61,5.16
109,25.0,1.0,WA,Jefferson,,0,0,0.011,0.0,0.064,0.171,0.754,3.657,31902.0,90.45,0.98,2.6,1.98,0.27,3.73
110,5354.0,25.0,WA,King,Large central metro,989,"14,905",0.016,0.02,0.05,0.191,0.7240000000000001,3.5890000000000004,2226300.0,67.08,7.02,1.02,18.48,0.91,5.49
111,337.0,2.0,WA,Kitsap,Medium metro,28,"2,093",0.024,0.003,0.051,0.136,0.7859999999999999,3.657,270101.0,81.55,3.14,1.71,5.84,1.09,6.66
